cluster_id, type, deleted, created_at, updated_at, memory_max, machine_type.name
1,"compute",true,"2018-08-23T16:51:17.000Z","2018-11-07T20:16:06.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-09-27T21:15:14.000Z","2018-10-01T13:15:46.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","m5.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","m5.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","m5.xlarge"
1,"infra",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","m5.xlarge"
1,"infra",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:20.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:21.000Z","0.0","m5.xlarge"
1,"infra",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:21.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T07:15:27.000Z","2018-11-07T19:15:21.000Z","0.0","m5.xlarge"
1,"compute",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:58.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:24.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:58.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:24.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:58.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-07T20:15:29.000Z","2018-11-12T19:15:24.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-07T20:15:30.000Z","2018-11-12T19:15:58.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-07T20:15:30.000Z","2018-11-12T19:15:58.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:15:26.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:16:16.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:15:26.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:16:16.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:15:26.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:16:16.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:16:16.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-12T20:15:25.000Z","2018-11-14T16:16:16.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-14T17:15:27.000Z","2018-11-15T18:07:05.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-14T17:15:27.000Z","2018-11-15T18:07:05.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-14T17:15:27.000Z","2018-11-15T18:07:05.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-14T17:15:27.000Z","2018-11-15T17:15:22.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-14T17:15:27.000Z","2018-11-15T18:07:05.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-14T17:15:27.000Z","2018-11-15T17:15:22.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-14T17:15:27.000Z","2018-11-15T18:07:05.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-14T17:15:27.000Z","2018-11-15T17:15:22.000Z","0.0","r4.xlarge"
1,"compute",true,"2018-11-28T01:34:32.000Z","2019-03-07T17:15:50.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-28T01:34:32.000Z","2019-02-24T13:15:25.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-28T01:34:32.000Z","2019-03-07T17:15:50.000Z","61.0","r4.2xlarge"
1,"compute",true,"2018-11-28T01:34:32.000Z","2019-01-29T05:15:31.000Z","16.0","m5.xlarge"
1,"compute",true,"2018-11-28T01:34:32.000Z","2019-02-21T21:15:43.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-28T01:34:32.000Z","2019-03-07T17:15:50.000Z","61.0","r4.2xlarge"
1,"compute",true,"2018-11-28T01:34:32.000Z","2019-03-07T17:15:50.000Z","16.0","m5.xlarge"
1,"infra",true,"2018-11-28T01:34:32.000Z","2019-03-07T17:15:50.000Z","61.0","r4.2xlarge"
1,"compute",true,"2019-01-29T06:15:30.000Z","2019-03-07T17:15:51.000Z","16.0","m5.xlarge"
